mcf:sourceMediumPath,mcf:totalConversions,mcf:totalConversionValue
pptv / vid,84,0.0
baidu / cpc,1277688,0.0
baidu / cpc -> baidu / cpc,55470,0.0
baidu / cpc -> baidu / cpc -> baidu / cpc,7514,0.0
baidu / cpc -> baidu / cpc -> baidu / cpc -> baidu / cpc,1715,0.0
baidu / cpc -> baidu / cpc -> baidu / cpc -> baidu / cpc -> baidu / cpc,482,0.0
baidu / cpc -> baidu / cpc -> baidu / cpc -> baidu / cpc -> baidu / cpc -> baidu / cpc,178,0.0
baidu / cpc -> baidu / cpc -> baidu / cpc -> baidu / cpc -> baidu / cpc -> baidu / cpc -> baidu / cpc,51,0.0
baidu / cpc -> baidu / cpc -> baidu / cpc -> baidu / cpc -> baidu / cpc -> baidu / cpc -> baidu / cpc -> baidu / cpc,51,0.0
baidu / cpc -> baidu / cpc -> baidu / cpc -> baidu / cpc -> baidu / cpc -> baidu / cpc -> baidu / cpc -> baidu / cpc -> baidu / cpc,17,0.0
baidu / cpc -> baidu / cpc -> baidu / cpc -> baidu / cpc -> baidu / cpc -> baidu / cpc -> baidu / cpc -> baidu / cpc -> baidu / cpc -> baidu / cpc -> baidu / cpc,68,0.0
baidu / cpc -> baidu / cpc -> baidu / cpc -> snickers.com.cn / referral,17,0.0
baidu / cpc -> baidu / cpc -> baidu / cpc -> snickers.com.cn / referral -> snickers.com.cn / referral,34,0.0
baidu / cpc -> baidu / cpc -> baidu / cpc -> snickers.com.cn / referral -> snickers.com.cn / referral -> (direct) / (none),17,0.0
baidu / cpc -> baidu / cpc -> baidu / cpc -> snickers.com.cn / referral -> snickers.com.cn / referral -> (direct) / (none) -> baidu / cpc,25,0.0
baidu / cpc -> baidu / cpc -> baidu / cpc -> snickers.com.cn / referral -> snickers.com.cn / referral -> (direct) / (none) -> baidu / cpc -> baidu / cpc,17,0.0
baidu / cpc -> baidu / cpc -> baidu / cpc -> (direct) / (none),17,0.0
baidu / cpc -> baidu / cpc -> baidu / cpc -> (direct) / (none) -> baidu / cpc,42,0.0
baidu / cpc -> baidu / cpc -> baidu / cpc -> (direct) / (none) -> baidu / cpc -> baidu / cpc -> baidu / cpc -> baidu / cpc -> baidu / cpc -> baidu / cpc,17,0.0
baidu / cpc -> baidu / cpc -> baidu / organic,85,0.0
baidu / cpc -> baidu / cpc -> (direct) / (none),101,0.0
baidu / cpc -> baidu / cpc -> (direct) / (none) -> baidu / cpc,59,0.0
baidu / cpc -> baidu / cpc -> (direct) / (none) -> baidu / cpc -> baidu / cpc,25,0.0
baidu / cpc -> baidu / cpc -> (direct) / (none) -> baidu / cpc -> (direct) / (none) -> baidu / cpc,42,0.0
baidu / cpc -> baidu / cpc -> iQiyi / pre-roll,17,0.0
baidu / cpc -> baidu / cpc -> tudou.com / referral -> baidu / cpc,17,0.0
baidu / cpc -> baidu / cpc -> iqiyi.com / referral,17,0.0
baidu / cpc -> baidu / cpc -> snickers.com.cn / referral,17,0.0
baidu / cpc -> baidu / cpc -> snickers.com.cn / referral -> baidu / cpc,17,0.0
baidu / cpc -> baidu / cpc -> snickers.com.cn / referral -> (direct) / (none),51,0.0
baidu / cpc -> baidu / cpc -> snickers.com.cn / referral -> (direct) / (none) -> baidu / cpc -> (direct) / (none) -> (direct) / (none),8,0.0
baidu / cpc -> baidu / cpc -> snickers.com.cn / referral -> (direct) / (none) -> baidu / cpc -> (direct) / (none) -> (direct) / (none) -> baidu / cpc,17,0.0
baidu / cpc -> Sina / share,68,0.0
baidu / cpc -> Sina / share -> baidu / cpc,59,0.0
baidu / cpc -> Sina / share -> baidu / cpc -> Qzone / share,25,0.0
baidu / cpc -> Sina / share -> madisonboom.com / referral -> baidu / cpc,25,0.0
baidu / cpc -> Sina / share -> madisonboom.com / referral -> baidu / cpc -> (direct) / (none),25,0.0
baidu / cpc -> Sina / share -> madisonboom.com / referral -> baidu / cpc -> (direct) / (none) -> en.campaignchina.com / referral,17,0.0
baidu / cpc -> Qzone / share,110,0.0
baidu / cpc -> Qzone / share -> baidu / cpc,84,0.0
