ga:source,ga:medium,ga:campaign,ga:adContent,ga:keyword,ga:visitors
(d,(not set),(not set),(not set),(not set),9
(di,(not set),(not set),(not set),(not set),9
(direct),(none),(not set),(not set),(not set),1487568
(direct),(none),(not set),/,(not set),9
(direct),(none),(not set),/albumplay/gA2cKU7Q-pQ/db9QtomNwuI.html,(not set),9
(direct),(none),(not set),/ptv/pplay/36711/1.html,(not set),9
(direct),(none),(not set),/ptv/pplay/38807/24.html,(not set),9
(direct),(none),(not set),clientend_clientend_d04,(not set),9
(direct),(none),(not set),playpage_video_b01,(not set),9
(direct),(none),(not set),seedvideopage_video_a02,(not set),9
(direct),(not set),(direct),(not set),(not set),9
1.5.6.3,referral,(not set),(not set),(not set),9
1.8.2.8,referral,(not set),(not set),(not set),9
10.161.120.192,referral,(not set),(not set),(not set),9
10.255.130.2:3438,referral,(not set),(not set),(not set),208
110.77.0.51,referral,(not set),(not set),(not set),9
119.6.119.154,referral,(not set),(not set),(not set),19
119.6.119.155,referral,(not set),(not set),(not set),19
119.60.11.184,referral,(not set),(not set),(not set),38
119.60.11.97,referral,(not set),(not set),(not set),9
121.17.125.243,referral,(not set),(not set),(not set),38
122.194.115.78,referral,(not set),(not set),(not set),9
123.139.0.131,referral,(not set),(not set),(not set),9
123andhracinema.blogspot.co.uk,referral,(not set),(not set),(not set),9
123andhracinema.blogspot.com,referral,(not set),(not set),(not set),19
123andhracinema.blogspot.in,referral,(not set),(not set),(not set),9
123andhracinemas.blogspot.in,referral,(not set),(not set),(not set),76
124.160.227.111,referral,(not set),(not set),(not set),19
124.160.227.114:10007,referral,(not set),(not set),(not set),19
124.160.227.114:10008,referral,(not set),(not set),(not set),19
124.160.227.114:10012,referral,(not set),(not set),(not set),19
125.39.80.116,referral,(not set),(not set),(not set),9
131.253.14.66,referral,(not set),(not set),(not set),9
133133.net,referral,(not set),(not set),(not set),9
139life.com,referral,(not set),(not set),(not set),9
172.15.0.205:3438,referral,(not set),(not set),(not set),9
192.110.110.244,referral,(not set),(not set),(not set),9
192.168.1.1,referral,(not set),(not set),(not set),19
1korean.com.sg,referral,(not set),(not set),(not set),19
1qdisk.com,referral,(not set),(not set),(not set),28
2.2.4.8,referral,(not set),(not set),(not set),9
2.5.1.2,referral,(not set),(not set),(not set),9
2.7.2.5,referral,(not set),(not set),(not set),9
211.138.207.229:57628,referral,(not set),(not set),(not set),9
211.140.10.212:3438,referral,(not set),(not set),(not set),133
211.140.10.213:3438,referral,(not set),(not set),(not set),265
218.104.166.34,referral,(not set),(not set),(not set),9
221.204.213.222,referral,(not set),(not set),(not set),114
221.208.143.243:8080,referral,(not set),(not set),(not set),9
221.231.141.222:6007,referral,(not set),(not set),(not set),9
221.231.148.253,referral,(not set),(not set),(not set),9
221.7.244.118,referral,(not set),(not set),(not set),9
222.83.8.3,referral,(not set),(not set),(not set),19
222.83.8.4,referral,(not set),(not set),(not set),19
222.83.8.5,referral,(not set),(not set),(not set),28
222.83.8.6,referral,(not set),(not set),(not set),9
2korea.net,referral,(not set),(not set),(not set),9
3.1.7.9,referral,(not set),(not set),(not set),9
361dy.cc,referral,(not set),(not set),(not set),9
365guipian.com,referral,(not set),(not set),(not set),9
3837.cc,referral,(not set),(not set),(not set),9
3dmgame.com,referral,(not set),(not set),(not set),9
4.0.5.5,referral,(not set),(not set),(not set),9
4.4.8.7,referral,(not set),(not set),(not set),9
5.4.4.2,referral,(not set),(not set),(not set),9
5.5.7.1,referral,(not set),(not set),(not set),9
58.17.163.138,referral,(not set),(not set),(not set),19
58.17.218.132,referral,(not set),(not set),(not set),9
58.56.19.3,referral,(not set),(not set),(not set),19
58.56.19.4,referral,(not set),(not set),(not set),38
58.56.19.5,referral,(not set),(not set),(not set),28
58.56.19.6,referral,(not set),(not set),(not set),28
6.9.3.8,referral,(not set),(not set),(not set),9
61.132.216.226,referral,(not set),(not set),(not set),114
61.132.216.241:9090,referral,(not set),(not set),(not set),28
61.132.255.198,referral,(not set),(not set),(not set),189
61.135.22.5,referral,(not set),(not set),(not set),38
61.182.172.6:21090,referral,(not set),(not set),(not set),9
61.182.172.6:21110,referral,(not set),(not set),(not set),9
61.182.172.6:22050,referral,(not set),(not set),(not set),9
61.233.76.152,referral,(not set),(not set),(not set),9
61.233.76.154,referral,(not set),(not set),(not set),9
68design.net,referral,(not set),(not set),(not set),66
7.0.9.3,referral,(not set),(not set),(not set),9
8585tv.com,referral,(not set),(not set),(not set),9
9.1.0.6,referral,(not set),(not set),(not set),9
9ku.tv,referral,(not set),(not set),(not set),9
Qzone,share,snikers_2012_2H,Snicker_Theater,(not set),417
Qzone,share,snikers_2012_2H,Snicker_Theater,士力架,19
Qzone,share,snikers_2012_2H,Snicker_Theater,士力架 韩剧,9
Qzone,share,snikers_2012_2H,Snicker_Theater,士力架广告,19
RenRen,share,snikers_2012_2H,Snicker_Theater,(not set),208
Sina,(not set),(not set),(not set),(not set),9
Sina,(not set),snikers_2012_2H,Snicker_Theater,(not set),9
Sina,share,snikers_2012_2H,Snicker_Theater,(not set),341
Sina,share,snikers_2012_2H,Snicker_Theater,士力架,9
Sina,share,snikers_2012_2H,Snicker_Theater,士力架广告,9
Sina,sharebutton,Lamisi_engagement_campaign_site,chp,(not set),9
Tencent,pre-roll,Snickers_2012_P13_VNP,(not set),videopage_pre-roll_i01,49007
Tencent,pre-roll,Snickers_2012_P13_VNP,(not set),videopage_pre-roll_i02,108268
Tencent,pre-roll,Snickers_2012_P13_VNP,(not set),videopage_pre-roll_i03,4393
Tencent,share,snikers_2012_2H,Snicker_Theater,(not set),114
Tudou,pre-roll,Snickers_2012_P13_VNP,(not set),videopage_pre-roll_g01,126172
Youku,pre-roll,Snickers_2012_P13_VNP,(not set),videopage_pre-roll_f01,158629
Youku,pre-roll,Snickers_2012_P13_VNP,(not set),videopage_pre-roll_f02,10301
a-pinkyeah.tumblr.com,referral,(not set),(not set),(not set),9
abcmalayalam.com,referral,(not set),(not set),(not set),739
act.cm.xunlei.com,referral,(not set),(not set),(not set),9
adquan.com,referral,(not set),(not set),(not set),180
againdrama.com,referral,(not set),(not set),(not set),9
ah.189.cn,referral,(not set),(not set),(not set),104
andhrawala4.blogspot.co.uk,referral,(not set),(not set),(not set),28
andhrawala4.blogspot.com,referral,(not set),(not set),(not set),57
andhrawala4.blogspot.com.es,referral,(not set),(not set),(not set),9
andhrawala4.blogspot.in,referral,(not set),(not set),(not set),47
andhrawala4.blogspot.sg,referral,(not set),(not set),(not set),9
andhrawala4.blogspot.tw,referral,(not set),(not set),(not set),9
anmychen.sg1007.myweb.hinet.net,referral,(not set),(not set),(not set),9
baidu,(not set),(not%2,(not set),(not set),9
baidu,cpc,(not set),(not set),&#1575;黄色电影,9
baidu,cpc,(not set),(not set),(not set),60056
baidu,cpc,(not set),(not set),,性交视频,9
baidu,cpc,(not set),(not set),,明星电影,9
baidu,cpc,(not set),(not set),,民间小调,9
baidu,cpc,(not set),(not set),,黄片,9
baidu,cpc,(not set),(not set),--------------------------有关三级片的视频,9
baidu,cpc,(not set),(not set),-做爱电影,9
baidu,cpc,(not set),(not set),-电影,9
baidu,cpc,(not set),(not set),.www.yaotou.com,9
baidu,cpc,(not set),(not set),.搞笑视频 笑死人,9
baidu,cpc,(not set),(not set),.流行歌曲,9
baidu,cpc,(not set),(not set),.舞曲,9
baidu,cpc,(not set),(not set),.街球视频,9
baidu,cpc,(not set),(not set),.超级搞笑电影,9
baidu,cpc,(not set),(not set),/www.youjizz.com/,9
baidu,cpc,(not set),(not set),0.1-5元零食,9
baidu,cpc,(not set),(not set),00271 电影,9
baidu,cpc,(not set),(not set),00271com视频,19
baidu,cpc,(not set),(not set),007电影,57
baidu,cpc,(not set),(not set),007电影系列,9
baidu,cpc,(not set),(not set),007系列电影,76
baidu,cpc,(not set),(not set),007系列电影哪部最好看,9
baidu,cpc,(not set),(not set),007系列电影系列全集,9
baidu,cpc,(not set),(not set),00乐队,9
baidu,cpc,(not set),(not set),0123电影,76
baidu,cpc,(not set),(not set),0212士力架广告,9
baidu,cpc,(not set),(not set),02426,38
baidu,cpc,(not set),(not set),02426.,9
baidu,cpc,(not set),(not set),02426.com,104
baidu,cpc,(not set),(not set),02kkk成人电影网,9
baidu,cpc,(not set),(not set),02kkk电影网,9
baidu,cpc,(not set),(not set),02kkk电影网快播,9
baidu,cpc,(not set),(not set),02kk电影,9
baidu,cpc,(not set),(not set),086电影,85
baidu,cpc,(not set),(not set),086电影网,9
baidu,cpc,(not set),(not set),09917电影网,9
baidu,cpc,(not set),(not set),10068搞笑对话,9
baidu,cpc,(not set),(not set),1008611搞笑信息,9
baidu,cpc,(not set),(not set),10086搞笑对话,28
baidu,cpc,(not set),(not set),100部好看的喜剧片,9
baidu,cpc,(not set),(not set),101.7音乐排行榜,9
baidu,cpc,(not set),(not set),1012年新dj,9
baidu,cpc,(not set),(not set),1012年最好听的音乐,9
baidu,cpc,(not set),(not set),1012搞笑电影,9
baidu,cpc,(not set),(not set),1012新歌,9
baidu,cpc,(not set),(not set),1012新歌曲,9
baidu,cpc,(not set),(not set),1012最好听的歌曲,9
baidu,cpc,(not set),(not set),1012最流行歌曲,9
baidu,cpc,(not set),(not set),1012流行音乐,9
baidu,cpc,(not set),(not set),1012街球比赛,9
baidu,cpc,(not set),(not set),101电影网,47
baidu,cpc,(not set),(not set),1069电影,9
baidu,cpc,(not set),(not set),1080p高清短片,9
baidu,cpc,(not set),(not set),10v8 开场舞曲 dj,9
baidu,cpc,(not set),(not set),10人小品搞笑大全,9
baidu,cpc,(not set),(not set),10大搞笑囧事,9
baidu,cpc,(not set),(not set),10年流行歌曲,9
baidu,cpc,(not set),(not set),10月最新歌,9
baidu,cpc,(not set),(not set),111111,9
baidu,cpc,(not set),(not set),1122电影,9
baidu,cpc,(not set),(not set),118114,9
baidu,cpc,(not set),(not set),11岁便宜溜冰鞋,9
baidu,cpc,(not set),(not set),11岁儿童的滑板,9
baidu,cpc,(not set),(not set),11年歌曲,9
baidu,cpc,(not set),(not set),11月最新电影,19
