ga:source,ga:medium,ga:campaign,ga:adContent,ga:keyword,ga:visits
(direct),(none),(not set),(not set),(not set),1563011
(direct),(none),(not set),/,(not set),9
(direct),(none),(not set),/albumplay/gA2cKU7Q-pQ/db9QtomNwuI.html,(not set),9
(direct),(none),(not set),/ptv/pplay/38807/24.html,(not set),9
(direct),(none),(not set),clientend_clientend_d04,(not set),9
(direct),(none),(not set),playpage_video_b01,(not set),9
(direct),(none),(not set),seedvideopage_video_a02,(not set),9
1.5.6.3,referral,(not set),(not set),(not set),9
1.8.2.8,referral,(not set),(not set),(not set),9
10.161.120.192,referral,(not set),(not set),(not set),170
10.255.130.2:3438,referral,(not set),(not set),(not set),284
110.77.0.51,referral,(not set),(not set),(not set),9
119.6.119.154,referral,(not set),(not set),(not set),19
119.6.119.155,referral,(not set),(not set),(not set),19
119.60.11.184,referral,(not set),(not set),(not set),38
119.60.11.97,referral,(not set),(not set),(not set),9
121.17.125.243,referral,(not set),(not set),(not set),38
122.194.115.78,referral,(not set),(not set),(not set),9
123.139.0.131,referral,(not set),(not set),(not set),9
123andhracinema.blogspot.co.uk,referral,(not set),(not set),(not set),9
123andhracinema.blogspot.com,referral,(not set),(not set),(not set),19
123andhracinema.blogspot.in,referral,(not set),(not set),(not set),9
123andhracinemas.blogspot.in,referral,(not set),(not set),(not set),76
124.160.227.111,referral,(not set),(not set),(not set),19
124.160.227.114:10007,referral,(not set),(not set),(not set),19
124.160.227.114:10008,referral,(not set),(not set),(not set),19
124.160.227.114:10012,referral,(not set),(not set),(not set),19
125.39.80.116,referral,(not set),(not set),(not set),9
131.253.14.66,referral,(not set),(not set),(not set),9
133133.net,referral,(not set),(not set),(not set),9
139life.com,referral,(not set),(not set),(not set),9
172.15.0.205:3438,referral,(not set),(not set),(not set),9
192.110.110.244,referral,(not set),(not set),(not set),9
192.168.1.1,referral,(not set),(not set),(not set),19
1korean.com.sg,referral,(not set),(not set),(not set),19
1qdisk.com,referral,(not set),(not set),(not set),28
2.2.4.8,referral,(not set),(not set),(not set),9
2.5.1.2,referral,(not set),(not set),(not set),9
2.7.2.5,referral,(not set),(not set),(not set),9
211.138.207.229:57628,referral,(not set),(not set),(not set),9
211.140.10.212:3438,referral,(not set),(not set),(not set),133
211.140.10.213:3438,referral,(not set),(not set),(not set),303
218.104.166.34,referral,(not set),(not set),(not set),9
221.204.213.222,referral,(not set),(not set),(not set),133
221.208.143.243:8080,referral,(not set),(not set),(not set),9
221.231.141.222:6007,referral,(not set),(not set),(not set),9
221.231.148.253,referral,(not set),(not set),(not set),199
221.7.244.118,referral,(not set),(not set),(not set),9
222.83.8.3,referral,(not set),(not set),(not set),19
222.83.8.4,referral,(not set),(not set),(not set),19
222.83.8.5,referral,(not set),(not set),(not set),28
222.83.8.6,referral,(not set),(not set),(not set),9
2korea.net,referral,(not set),(not set),(not set),9
3.1.7.9,referral,(not set),(not set),(not set),9
361dy.cc,referral,(not set),(not set),(not set),9
365guipian.com,referral,(not set),(not set),(not set),9
3837.cc,referral,(not set),(not set),(not set),9
3dmgame.com,referral,(not set),(not set),(not set),9
4.0.5.5,referral,(not set),(not set),(not set),9
4.4.8.7,referral,(not set),(not set),(not set),9
5.4.4.2,referral,(not set),(not set),(not set),9
5.5.7.1,referral,(not set),(not set),(not set),9
58.17.163.138,referral,(not set),(not set),(not set),19
58.17.218.132,referral,(not set),(not set),(not set),9
58.56.19.3,referral,(not set),(not set),(not set),19
58.56.19.4,referral,(not set),(not set),(not set),38
58.56.19.5,referral,(not set),(not set),(not set),28
58.56.19.6,referral,(not set),(not set),(not set),28
6.9.3.8,referral,(not set),(not set),(not set),9
61.132.216.226,referral,(not set),(not set),(not set),218
61.132.216.241:9090,referral,(not set),(not set),(not set),28
61.132.255.198,referral,(not set),(not set),(not set),208
61.135.22.5,referral,(not set),(not set),(not set),38
61.182.172.6:21090,referral,(not set),(not set),(not set),9
61.182.172.6:21110,referral,(not set),(not set),(not set),9
61.182.172.6:22050,referral,(not set),(not set),(not set),9
61.233.76.152,referral,(not set),(not set),(not set),9
61.233.76.154,referral,(not set),(not set),(not set),9
68design.net,referral,(not set),(not set),(not set),66
7.0.9.3,referral,(not set),(not set),(not set),9
8585tv.com,referral,(not set),(not set),(not set),9
9.1.0.6,referral,(not set),(not set),(not set),9
9ku.tv,referral,(not set),(not set),(not set),9
Qzone,share,snikers_2012_2H,Snicker_Theater,(not set),454
Qzone,share,snikers_2012_2H,Snicker_Theater,士力架广告,9
RenRen,share,snikers_2012_2H,Snicker_Theater,(not set),208
Sina,(not set),(not set),(not set),(not set),9
Sina,(not set),snikers_2012_2H,Snicker_Theater,(not set),9
Sina,share,snikers_2012_2H,Snicker_Theater,(not set),407
Sina,sharebutton,Lamisi_engagement_campaign_site,chp,(not set),9
Tencent,pre-roll,Snickers_2012_P13_VNP,(not set),videopage_pre-roll_i01,49566
Tencent,pre-roll,Snickers_2012_P13_VNP,(not set),videopage_pre-roll_i02,108922
Tencent,pre-roll,Snickers_2012_P13_VNP,(not set),videopage_pre-roll_i03,4441
Tencent,share,snikers_2012_2H,Snicker_Theater,(not set),114
Tudou,pre-roll,Snickers_2012_P13_VNP,(not set),videopage_pre-roll_g01,127934
Youku,pre-roll,Snickers_2012_P13_VNP,(not set),videopage_pre-roll_f01,160608
